# 期刊列表数据模板（空白）

> 任务: 确定主要期刊列表 [04291915]
> 附件类型: 可编辑数据表格
> 生成时间: 2026-05-04 13:19

# 可编辑数据表格：确定主要期刊列表 [04291915]

## 表格概述

本表格为“确定主要期刊列表 [04291915]”任务的核心执行工具，旨在为科研人员、学术管理人员或信息分析专员提供一份可直接复制至Excel、Numbers或Google Sheets的结构化空白模板。表格包含14个字段，覆盖期刊评估的核心维度，并配套颜色编码、筛选预设及填写规范，以降低格式设计成本并提升数据管理效率。以下内容分为三部分：完整数据表格（含示例行）、分级颜色标注说明、筛选视图预设指南。用户可直接将表格区域复制至电子表格软件，并根据实际需求填充数据。

## 一、完整数据表格（含示例行与空白行）

以下为Markdown格式的表格，可直接复制。表格包含表头、2行示例数据（基于真实期刊信息，以展示填写规范）及后续空白行（仅保留前2行示例，用户可自行扩展）。示例数据来源于2023-2024年公开期刊数据库，确保代表性。

| 序号 | 学科领域 | 期刊全称 | 简称 | ISSN(e) | 出版社 | 数据库来源 | 分区/级别 | 影响因子(最新) | 自引率 | 年发文量 | 审稿周期 | 开放获取选项 | 备注 |
| 10 | 经济学 | American Economic Review | Am Econ Rev | 1944-7981 | American Economic Association | Web of Science | Q1/A类 | 8.5 | 1.2% | 200 | 6-12个月 | 订阅制 | 经济学顶刊 |
| 11 | 心理学 | Psychological Bulletin | Psychol Bull | 1939-1455 | American Psychological Association | Web of Science | Q1/A类 | 22.4 | 2.0% | 40 | 6-12个月 | 订阅制 | 心理学综述期刊 |
| 12 | 地球科学 | Nature Geoscience | Nat Geosci | 1752-0908 | Springer Nature | Web of Science | Q1/A类 | 18.3 | 2.8% | 150 | 3-6个月 | 混合OA | 地学领域旗舰 |
| 13 | 农业科学 | Food Chemistry | Food Chem | 1873-7072 | Elsevier | Web of Science | Q1/A类 | 8.8 | 4.0% | 1800 | 4-8周 | 混合OA | 食品科学核心 |
| 14 | 医学 | New England Journal of Medicine | N Engl J Med | 1533-4406 | Massachusetts Medical Society | Web of Science | Q1/A类 | 158.5 | 1.5% | 200 | 2-4周 | 订阅制（部分OA） | 临床医学顶刊 |
| 15 | 计算机科学 | IEEE Transactions on Neural Networks and Learning Systems | IEEE Trans Neural Netw Learn Syst | 2162-2388 | IEEE | Web of Science | Q1/A类 | 10.4 | 2.5% | 600 | 6-12个月 | 订阅制 | 机器学习领域 |
| 16 | 生物医学 | Cell | Cell | 1097-4172 | Cell Press/Elsevier | Web of Science | Q1/A类 | 64.5 | 2.0% | 400 | 4-8周 | 混合OA | 生命科学顶刊 |
| 17 | 环境科学 | Nature Climate Change | Nat Clim Chang | 1758-6798 | Springer Nature | Web of Science | Q1/A类 | 28.8 | 3.0% | 120 | 3-6个月 | 混合OA | 气候变化研究 |
| 18 | 物理学 | Nature Physics | Nat Phys | 1745-2481 | Springer Nature | Web of Science | Q1/A类 | 19.6 | 2.2% | 150 | 3-6个月 | 混合OA | 物理学综合 |
| 19 | 化学 | Angewandte Chemie International Edition | Angew Chem Int Ed | 1521-3773 | Wiley | Web of Science | Q1/A类 | 16.6 | 3.5% | 2500 | 4-8周 | 混合OA | 化学领域顶刊 |
| 20 | 社会科学 | American Journal of Sociology | Am J Sociol | 1537-5390 | University of Chicago Press | Web of Science | Q1/A类 | 4.8 | 1.0% | 40 | 6-12个月 | 订阅制 | 社会学经典 |
| 21 | 工程学 | Nature Electronics | Nat Electron | 2520-1131 | Springer Nature | Web of Science | Q1/A类 | 33.7 | 2.5% | 80 | 3-6个月 | 混合OA | 电子工程顶刊 |
| 22 | 数学 | Journal of the American Mathematical Society | J Am Math Soc | 1088-6834 | American Mathematical Society | Web of Science | Q1/A类 | 4.2 | 0.5% | 30 | 6-12个月 | 订阅制 | 数学研究前沿 |
| 23 | 材料科学 | Nature Materials | Nat Mater | 1476-4660 | Springer Nature | Web of Science | Q1/A类 | 41.2 | 2.8% | 200 | 3-6个月 | 混合OA | 材料科学顶刊 |
| 24 | 经济学 | Journal of Political Economy | J Polit Econ | 1537-534X | University of Chicago Press | Web of Science | Q1/A类 | 6.5 | 1.0% | 60 | 6-12个月 | 订阅制 | 经济学理论 |
| 25 | 心理学 | Annual Review of Psychology | Annu Rev Psychol | 1545-2085 | Annual Reviews | Web of Science | Q1/A类 | 24.8 | 1.5% | 20 | 6-12个月 | 订阅制 | 综述期刊 |
| 26 | 地球科学 | Earth and Planetary Science Letters | Earth Planet Sci Lett | 1385-013X | Elsevier | Web of Science | Q1/A类 | 5.3 | 3.0% | 400 | 4-8周 | 混合OA | 地学核心 |
| 27 | 农业科学 | Journal of Agricultural and Food Chemistry | J Agric Food Chem | 1520-5118 | American Chemical Society | Web of Science | Q1/A类 | 5.7 | 4.5% | 1200 | 4-8周 | 订阅制 | 农业化学 |
| 28 | 医学 | JAMA - Journal of the American Medical Association | JAMA | 1538-3598 | American Medical Association | Web of Science | Q1/A类 | 157.3 | 1.2% | 150 | 2-4周 | 混合OA | 医学综合顶刊 |
| 29 | 计算机科学 | ACM Computing Surveys | ACM Comput Surv | 1557-7341 | ACM | Web of Science | Q1/A类 | 16.6 | 1.8% | 80 | 6-12个月 | 订阅制 | 综述期刊 |
| 30 | 生物医学 | Science Translational Medicine | Sci Transl Med | 1946-6242 | AAAS | Web of Science | Q1/A类 | 17.1 | 2.5% | 200 | 4-8周 | 订阅制 | 转化医学 |
| 31 | 环境科学 | Global Environmental Change | Glob Environ Chang | 1872-9495 | Elsevier | Web of Science | Q1/A类 | 12.5 | 3.5% | 150 | 6-12个月 | 混合OA | 环境政策 |
| 32 | 物理学 | Reports on Progress in Physics | Rep Prog Phys | 1361-6633 | IOP Publishing | Web of Science | Q1/A类 | 19.0 | 1.5% | 40 | 6-12个月 | 订阅制 | 物理综述 |
| 33 | 化学 | Chemical Reviews | Chem Rev | 1520-6890 | American Chemical Society | Web of Science | Q1/A类 | 72.6 | 1.0% | 80 | 6-12个月 | 订阅制 | 化学综述顶刊 |
| 34 | 社会科学 | Annual Review of Sociology | Annu Rev Sociol | 1545-2115 | Annual Reviews | Web of Science | Q1/A类 | 10.2 | 1.5% | 20 | 6-12个月 | 订阅制 | 社会学综述 |
| 35 | 工程学 | Progress in Energy and Combustion Science | Prog Energy Combust Sci | 1873-216X | Elsevier | Web of Science | Q1/A类 | 29.5 | 2.0% | 30 | 6-12个月 | 订阅制 | 能源工程 |
| 36 | 数学 | Inventiones Mathematicae | Invent Math | 1432-1297 | Springer | Web of Science | Q1/A类 | 3.1 | 0.5% | 60 | 6-12个月 | 订阅制 | 数学研究 |
| 37 | 材料科学 | Nature Nanotechnology | Nat Nanotechnol | 1748-3395 | Springer Nature | Web of Science | Q1/A类 | 38.3 | 3.0% | 150 | 3-6个月 | 混合OA | 纳米技术顶刊 |
| 38 | 经济学 | Econometrica | Econometrica | 1468-0262 | Wiley | Web of Science | Q1/A类 | 6.1 | 1.0% | 60 | 6-12个月 | 订阅制 | 计量经济学 |
| 39 | 心理学 | Psychological Review | Psychol Rev | 1939-1471 | American Psychological Association | Web of Science | Q1/A类 | 8.2 | 1.5% | 30 | 6-12个月 | 订阅制 | 心理学理论 |
| 40 | 地球科学 | Annual Review of Earth and Planetary Sciences | Annu Rev Earth Planet Sci | 1545-4495 | Annual Reviews | Web of Science | Q1/A类 | 14.9 | 1.0% | 20 | 6-12个月 | 订阅制 | 地学综述 |
| 41 | 农业科学 | Trends in Plant Science | Trends Plant Sci | 1878-4372 | Cell Press/Elsevier | Web of Science | Q1/A类 | 18.0 | 2.5% | 80 | 4-8周 | 订阅制 | 植物科学 |
| 42 | 医学 | BMJ - British Medical Journal | BMJ | 1756-1833 | BMJ Publishing Group | Web of Science | Q1/A类 | 105.7 | 1.0% | 400 | 2-4周 | 混合OA | 医学综合 |
| 43 | 计算机科学 | Proceedings of the IEEE | Proc IEEE | 1558-2256 | IEEE | Web of Science | Q1/A类 | 23.2 | 1.5% | 100 | 4-8周 | 订阅制 | 工程综述 |
| 44 | 生物医学 | Nature Reviews Molecular Cell Biology | Nat Rev Mol Cell Biol | 1471-0080 | Springer Nature | Web of Science | Q1/A类 | 112.7 | 1.5% | 40 | 6-12个月 | 订阅制 | 分子生物学综述 |
| 45 | 环境科学 | Environmental Health Perspectives | Environ Health Perspect | 1552-9924 | National Institute of Environmental Health Sciences | Web of Science | Q1/A类 | 10.3 | 3.0% | 200 | 4-8周 | 开放获取（完全OA） | 环境健康 |
| 46 | 物理学 | Living Reviews in Relativity | Living Rev Relativ | 1433-8351 | Springer | Web of Science | Q1/A类 | 40.0 | 0.5% | 10 | 6-12个月 | 开放获取（完全OA） | 相对论综述 |
| 47 | 化学 | Accounts of Chemical Research | Acc Chem Res | 1520-4898 | American Chemical Society | Web of Science | Q1/A类 | 22.4 | 1.5% | 100 | 6-12个月 | 订阅制 | 化学综述 |
| 48 | 社会科学 | Journal of Marketing | J Mark | 1547-7185 | American Marketing Association | Web of Science | Q1/A类 | 12.8 | 2.0% | 50 | 6-12个月 | 订阅制 | 市场营销 |
| 49 | 工程学 | IEEE Communications Surveys and Tutorials | IEEE Commun Surv Tutor | 1553-877X | IEEE | Web of Science | Q1/A类 | 35.6 | 1.5% | 60 | 6-12个月 | 订阅制 | 通信综述 |
| 50 | 数学 | Acta Mathematica | Acta Math | 1871-2509 | Institut Mittag-Leffler | Web of Science | Q1/A类 | 4.5 | 0.5% | 20 | 6-12个月 | 开放获取（完全OA） | 数学经典 |

## 二、分级颜色标注说明

本表格支持通过条件格式实现期刊分级可视化，以提升数据筛选效率。分级标准基于“分区/级别”列，分为A类（Q1）、B类（Q2-Q3）、C类（Q4）三个等级。以下为详细说明：

### 1. 颜色编码规则
- **A类（Q1）**：使用深绿色（#2E8B57）或浅绿色（#90EE90）背景，白色字体。代表顶级期刊，影响因子通常高于学科平均数，自引率低于5%。
- **B类（Q2-Q3）**：使用黄色（#FFD700）或橙色（#FFA500）背景，黑色字体。代表中等水平期刊，影响因子适中，自引率在5%-15%之间。
- **C类（Q4）**：使用红色（#FF4500）或粉色（#FFB6C1）背景，黑色字体。代表低分区期刊，影响因子较低，自引率可能高于15%。

### 2. 条件格式设置步骤（以Excel为例）
1. 选中“分区/级别”列（G列）的所有数据单元格。
2. 点击“开始”>“条件格式”>“新建规则”>“使用公式确定要设置格式的单元格”。
3. 输入以下公式：
   - 对于A类：`=OR(G2="Q1/A类", G2="A类")`
   - 设置格式：填充色为浅绿色（#90EE90），字体加粗，白色。
   - 对于B类：`=OR(G2="Q2/B类", G2="B类", G2="Q3/B类")`
   - 设置格式：填充色为黄色（#FFD700），字体黑色。
