公司,国家/地区,赛道,融资轮次,时间,金额/估值,投资方,核心技术,应用方向,壁垒评估,跟投观察
XtalPi,中国/全球,AI+药物/材料,成长轮,2024-2025,公开融资,腾讯/红杉等,量子物理+AI计算平台,药物/新材料,高：计算基础设施深,可作为中国AI4S平台型标杆
深势科技 DP Technology,中国,AI+分子模拟/材料,成长轮,2024-2025,公开融资,启明/源码等,AI for simulation平台（DeepModeling）,材料/化学/能源,极高：学术+工业双壁垒,中国AI催化/材料方向核心参照
中科闻歌相关AI4S项目群,中国,科研AI生态,天使/孵化观察,2025-2026,未披露,科研院所/产业基金,科研数据智能,科研基础设施,中,更适合作为生态入口而非单一标的
光子盒系AI材料项目,中国,AI+新材料,孵化/天使观察,2025-2026,未披露,产业资本,材料计算与筛选,半导体/先进材料,中高,需逐个核验团队与融资真实性
Atomic AI,美国,AI+RNA/分子,A轮前后,2024-2025,公开融资,公开机构,RNA结构与药物设计AI,生物,中高,技术强但赛道更偏生物
Charm Therapeutics,英国,生成式药物,A轮/B轮前,2024-2025,公开融资,F-Prime等,3D生成药物设计,药物,高,可借鉴3D结构方法到催化剂设计
Terray Therapeutics,美国,自动化实验+AI,A轮/B轮前,2024-2025,公开融资,NVentures等,高通量实验+机器学习,药物/化学,高,实验自动化能力非常关键
Enveda,美国,AI+天然产物,成长轮,2024-2025,公开融资,Kinnevik等,天然产物知识图谱+ML,药物,高,数据来源稀缺
Inceptive,美国,AI+RNA,A轮前后,2024-2025,公开融资,NVentures等,生成式RNA设计,生物,高,方法先进，赛道热度高
Latent Labs,英国,AI+蛋白,种子,2025,公开融资,公开机构,生成式生物模型,生物,中高,团队背景是核心尽调点
Archon Biosciences,美国,AI+生物平台,种子/Pre-A观察,2025,未充分披露,天使/机构,生物分子设计,生物,中,需验证平台深度
Parallel Bio,美国,AI+免疫/生物,种子/A轮,2024-2025,公开融资,公开机构,人体免疫模拟平台,生物,中高,实验平台稀缺性较强
Elegen,美国,合成DNA基础设施,A轮前后,2024-2025,公开融资,公开机构,DNA制造加速,生物制造,中高,卖铲子逻辑清晰
Ginkgo Bioworks新孵化项目群,美国,生物制造,孵化/种子,2025-2026,未披露,Ginkgo生态,自动化生物研发,生物制造,中,更多看分拆公司
Tatta Bio,美国,AI+蛋白降解,种子,2025,公开融资,公开机构,AI驱动分子设计,药物,中高,处于很早期
Entalpic,法国,AI+材料发现,种子,2024-2025,公开融资,Bpifrance等,基础模型发现低碳材料,材料/气候,高,欧洲AI材料早期优质标的
Matnex,法国,生成式材料AI,种子,2024-2025,公开融资,公开机构,材料配方生成与优化,工业材料,中高,小而美，适合天使跟踪
Aionics,美国,AI+电解液/电池材料,A轮前后,2024-2025,公开融资,公开机构,电池化学AI设计平台,能源材料,高,与电池客户验证很关键
Chemix AI,美国,AI+电池研发,种子/A轮,2024-2025,公开融资,公开机构,电池配方优化与研发软件,能源,中高,软件切入更轻，但壁垒看数据
Mosaic Materials AI spinouts,美国,碳捕集材料,孵化观察,2025-2026,未披露,产业资本,MOF/吸附材料优化,气候材料,中,需识别真正AI驱动成分
Mitico,美国,AI+碳捕集工艺,种子/A轮,2024-2025,公开融资,公开机构,材料+工艺优化,碳捕集,中高,若有软件层更具扩展性
Twelve相关早期生态项目,美国,AI+碳转化,生态观察,2025-2026,未披露,产业资本,电催化/工艺优化,能源/化工,中,更多是生态机会
Charm Industrial相关AI项目,美国,气候+AI,生态观察,2025-2026,未披露,气候基金,工艺优化,碳管理,中,需关注数据化程度
SES AI,美国,AI+电池,上市/成长,持续,二级市场参照,多家,AI辅助电池研发,电池,中高,上市标的可作退出参照
Factorial Energy生态项目,美国,固态电池AI项目群,孵化观察,2025-2026,未披露,车企/基金,固态电池材料优化,能源,中,看分拆团队
Pika? not relevant,美国,非相关,排除,-,-,-,-,-,-,用于提醒避免泛AI噪音标的
SandboxAQ,美国,AI+量子/化学模拟,成长轮,2024-2025,公开融资,Breyer等,量子仿真+AI,材料/制药,高,更偏后期标杆
QSimulate早期团队,美国/欧盟,AI+分子模拟,种子观察,2025-2026,未披露,天使/科研转化基金,仿真加速,化学/材料,中高,高校转化属性强
Citrine Informatics,美国,材料信息学,成长轮,持续,历史融资丰富,多家,材料数据平台,材料研发,高,老牌对标，说明商业化路径
Kebotix,美国,AI+材料机器人,成长/并购观察,持续,历史融资,多家,材料发现自动化,材料,高,自动化闭环有启发
Polymerize,新加坡,AI+材料配方,种子/A轮,2024-2025,公开融资,Wavemaker等,聚合物配方优化,工业材料,中高,亚洲区域值得关注
PhaseTree,韩国/全球,AI+材料计算,种子/成长早期,2024-2025,公开融资,公开机构,材料模拟软件,材料,中高,亚洲AI材料代表之一
Matmerize,美国,AI+聚合物材料,种子/A轮,2024-2025,公开融资,公开机构,聚合物设计软件,材料,中高,B2B软件化路径清晰
Albert Invent,美国,材料研发软件,A轮前后,2024-2025,公开融资,公开机构,研发知识管理+实验优化,化工/材料,中高,切入口轻，商业化快
Uncountable AI/研发平台,美国,实验数据平台,成长早期,2024-2025,公开融资,公开机构,实验数据基础设施,材料/化工,中,数据层价值高但AI差异化需辨别
Cyclic Materials AI tools,加拿大,循环材料,生态观察,2025-2026,未披露,产业资本,回收流程优化,能源材料,中,偏产业流程优化
Molecule.one,波兰,AI+合成路线,成长早期,2024-2025,公开融资,公开机构,逆合成规划,化学,高,工具型很强，可服务催化/合成
Iambic Therapeutics,美国,AI+药物,成长轮,2024-2025,公开融资,a16z等,多模态药物研发,药物,高,团队与临床推进能力强
Hippocratic AI?,美国,医疗AI,排除,-,-,-,-,-,-,提醒聚焦AI for Science，不纳入候选
TrialSpark/相关AI生物项目,美国,生物平台,生态观察,2025-2026,未披露,产业资本,研发加速,生物,中,非核心
Aiforia Materials spinout,北欧,AI+材料视觉/分析,种子观察,2025-2026,未披露,科研基金,显微结构识别,材料,中,需核验独立公司化程度
NanoChem Insights,中国,AI+催化（观察名单）,天使观察,2025-2026,未披露,院所基金/产业资本,催化剂高通量筛选+模型,催化,中高,需一线FA渠道核验
CatalyzeX Materials Labs,美国,AI+催化（观察名单）,天使观察,2025-2026,未披露,天使/孵化器,催化知识图谱+实验自动化,催化,中高,命中主题，但需验证融资与实体化
Electrolyte Mind,中国,AI+电催化/电解液,Pre-A观察,2025-2026,未披露,产业资本,电化学配方生成,能源催化,中高,要重点看客户POC
BioCatalyst Forge,美国,AI+酶催化,种子观察,2025-2026,未披露,合成生物基金,酶设计+DBTL闭环,生物催化,高,符合AI催化核心方向
GreenCatalysis Studio,欧盟,AI+绿色催化,种子观察,2025-2026,未披露,气候科技基金,催化反应条件优化,化工催化,中,需核验是否真实公司
