年份,全球市场规模(亿美元),中国市场规模(亿元),全球增长率(%),中国增长率(%),Sheet,企业,2025年收入,收入同比,净利润,现金储备,员工人数,ARPU,状态,模式类型,代表企业,收入模式,客单价范围,盈利周期,技术壁垒,可复制性,天花板,典型ARR增速,里程碑,典型特征,平均耗时(年),ARR区间,晶泰耗时,英矽耗时,深势耗时,核心任务,成功要素,权重,关键指标,晶泰评分,英矽评分,深势评分,和光目标值,差距分析,行动领域,具体行动,时间周期,预算(万元),关键里程碑,负责人,成功衡量指标,风险类别,具体风险,发生概率,影响程度,风险等级,应对策略,责任人,监控频率
,,,,,商业模式矩阵,,,,,,,,,垂直SaaS,Rodin,SaaS订阅,$49-$199/月,2-3年,★★★☆☆,★★★★★,★★★☆☆,300%+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,商业模式矩阵,,,,,,,,,软件授权,Schrödinger,永久授权+维护,$5k-$50万/年,5-7年,★★★★☆,★★★☆☆,★★★☆☆,15-25%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,商业化里程碑路径,,,,,,,,,,,,,,,,,,技术验证,核心算法SOTA，论文发表,1.5,<100万,2年,2年,2年,技术可行性验证,,,,,,,,,,,,,,,,,,,,,,,
,,,,,商业化里程碑路径,,,,,,,,,,,,,,,,,,PMF达成,付费客户验证，NPS>40，留存>80%,1.5,100-500万,2年,3年,2年,产品市场契合,,,,,,,,,,,,,,,,,,,,,,,
,,,,,商业化里程碑路径,,,,,,,,,,,,,,,,,,百万ARR,年经常性收入>100万美元，销售体系初步建立,1.0,100-500万,1年,1年,1年,规模化销售验证,,,,,,,,,,,,,,,,,,,,,,,
,,,,,商业化里程碑路径,,,,,,,,,,,,,,,,,,千万ARR,年经常性收入>1000万美元，商业模式验证,2.0,1000-5000万,2年,3年,2年,商业模式验证,,,,,,,,,,,,,,,,,,,,,,,
,,,,,商业化里程碑路径,,,,,,,,,,,,,,,,,,盈利拐点,经调整EBITDA转正，可持续经营,3.0,>5000万,3年,进行中,进行中,可持续盈利能力,,,,,,,,,,,,,,,,,,,,,,,
,,,,,核心成功要素对标,,,,,,,,,,,,,,,,,,,,,,,,,,技术闭环能力,30%,数据→模型→客户→数据飞轮完整性,9.0,8.0,8.0,8.0,需加强实验层建设,,,,,,,,,,,,,,,
,,,,,核心成功要素对标,,,,,,,,,,,,,,,,,,,,,,,,,,跨学科团队,20%,博士占比、领域专家数量,8.0,8.0,9.0,8.0,招聘/培养跨界人才,,,,,,,,,,,,,,,
,,,,,核心成功要素对标,,,,,,,,,,,,,,,,,,,,,,,,,,高质量数据,20%,专有数据量、数据质量评分,9.0,8.0,8.0,8.0,建设数据平台,,,,,,,,,,,,,,,
,,,,,核心成功要素对标,,,,,,,,,,,,,,,,,,,,,,,,,,客户粘性,15%,续费率、NPS、客户LTV,8.0,7.0,8.0,8.0,提升客户成功体系,,,,,,,,,,,,,,,
,,,,,核心成功要素对标,,,,,,,,,,,,,,,,,,,,,,,,,,里程碑变现,15%,里程碑金额/ARR比率,10.0,9.0,7.0,8.0,设计里程碑机制,,,,,,,,,,,,,,,
,,,,,和光3年行动计划,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,技术闭环,实验自动化基础建设,0-12个月,2000.0,3个核心实验流程自动化,CTO+研发VP,实验效率提升30%,,,,,,,,
,,,,,和光3年行动计划,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,技术闭环,数据平台与AI模型迭代,12-24个月,3000.0,统一数据平台建成,CTO+数据总监,模型性能年提升20%,,,,,,,,
,,,,,和光3年行动计划,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,技术闭环,全闭环系统上线,24-36个月,5000.0,7×24无人实验室运行,CTO+实验室总监,数据自循环率>80%,,,,,,,,
,,,,,和光3年行动计划,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,变现路径,标准化SaaS平台上线,0-12个月,500.0,首批50家付费客户,产品总监,付费转化率>8%,,,,,,,,
,,,,,和光3年行动计划,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,变现路径,大客户解决方案团队建设,6-18个月,1500.0,首个百万级项目交付,销售VP,大客户签约率>20%,,,,,,,,
,,,,,和光3年行动计划,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,变现路径,里程碑合作机制设计,12-24个月,1000.0,首个千万级里程碑签约,CEO+BD总监,里程碑收入占比>30%,,,,,,,,
,,,,,和光3年行动计划,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,生态建设,开源社区建设,0-12个月,300.0,开源社区1000+开发者,开源负责人,月活开发者>500,,,,,,,,
,,,,,和光3年行动计划,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,生态建设,学术联盟建立,12-24个月,800.0,5家联合实验室建立,战略合作总监,联合论文>5篇/年,,,,,,,,
,,,,,和光3年行动计划,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,生态建设,产业投资布局,24-36个月,5000.0,3-5家生态企业投资,CEO+CFO,投资企业>3家,,,,,,,,
,,,,,风险评估矩阵,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,技术风险,模型泛化能力不足,中,高,橙色,增加真实实验数据比例,CTO,季度
,,,,,风险评估矩阵,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,技术风险,AI可解释性不足,高,高,红色,开发可解释AI技术,首席科学家,季度
,,,,,风险评估矩阵,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,技术风险,技术迭代被超越,中,高,橙色,预留20%研发投入前沿,CTO,月度
,,,,,风险评估矩阵,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,商业化风险,客户付费意愿不足,高,中,黄色,打造ROI可量化产品,产品VP,月度
,,,,,风险评估矩阵,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,商业化风险,销售周期过长,高,中,黄色,分层客户策略长短结合,销售VP,月度
,,,,,风险评估矩阵,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,商业化风险,竞争加剧价格战,中,中,黄色,聚焦垂直领域建立壁垒,CEO,季度
,,,,,风险评估矩阵,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,人才风险,跨界人才稀缺,高,高,红色,培养+引进+生态三管齐下,HRVP,月度
,,,,,风险评估矩阵,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,人才风险,核心团队流失,中,高,橙色,股权激励+文化建设,CEO,季度
,,,,,风险评估矩阵,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,财务风险,现金流断裂风险,低,极高,红色,多层次变现尽早现金平衡,CFO,月度
