# Macmini文件共享项目资源配置评估数据收集清单

> 任务: 评估同Macmini文件共享项目资源配置是否充足并提出调整建议
> 附件类型: 数据收集清单
> 生成时间: 2026-05-05 15:19

# 同Macmini文件共享项目资源配置充足性评估数据收集清单
## 版本信息
| 项目名称       | 同Macmini文件共享项目资源配置评估       | 文档编号       | XX-SY-PZ-202X0XXXXX-01       |
| 核心交换机端口配置          | 交换机管理界面（SSH/Telnet/WebUI）/网络拓扑图 | 表格（交换机型号、Macmini连接的端口号、端口速率、端口模式（Access/Trunk）、VLAN ID、QoS配置优先级） | 示例：核心交换机：Cisco Catalyst 9300-48U；端口号：Gi1/0/24；端口速率：1000Mbps全双工；模式：Access；VLAN ID：10（设计部专用文件共享VLAN）；QoS优先级：DSCP 46（EF， Expedited Forwarding，最高优先级） |
| 内部高速交换机端口配置      | 交换机管理界面/网络拓扑图          | 表格（同核心交换机）              | 示例：内部高速交换机：Cisco Catalyst 9200X-24Y；端口号：Te1/0/12；端口速率：40Gbps全双工；模式：Access；VLAN ID：10；QoS优先级：DSCP 46 |
| 文件共享设备到用户终端的网络链路 | 网络拓扑图/运维部门测试报告        | 表格（链路类型、用户群体、平均/峰值带宽、网络延迟、丢包率、抖动） | 需覆盖所有主要用户群体的链路，示例：链路类型：有线千兆（核心→接入→终端）；用户群体：UI设计师（工位≥90%有有线接入）；平均带宽：100-200Mbps（下行）/50-100Mbps（上行）；峰值带宽：800Mbps（下行）/400Mbps（上行）；网络延迟：≤5ms；丢包率：≤0.01%；抖动：≤1ms |
| 网络防火墙/ACL配置          | 防火墙管理界面/安全合规文档        | 表格（源IP/网段、目标IP/端口、协议、动作（允许/拒绝）、说明） | 需筛选出与Macmini文件共享相关的规则，示例：源IP/网段：设计部VLAN10（192.168.10.0/24）；目标IP/端口：192.168.10.5:445（SMB3）、192.168.10.5:548（AFP）；协议：TCP/UDP；动作：允许；说明：设计部内部访问文件共享主协议 |

---

## 三、软件与系统配置信息
### 3.1 操作系统与基础服务配置
| 收集项                     | 数据来源                          | 格式要求                          | 详细说明/示例                                                                 |
|----------------------------|-----------------------------------|-----------------------------------|-----------------------------------------------------------------------------|
| macOS版本与更新状态          | Apple菜单→关于本机→软件更新        | 结构化文本                        | 示例：macOS Sonoma 14.2（23C64），已安装所有安全更新和系统修复补丁              |
| 文件共享服务启用状态        | 系统偏好设置→共享/终端（`sudo systemsetup -getsharingoptions`） | 结构化文本（SMB/AFP/FTP/其他）    | 示例：已启用SMB 3.1.1（默认主协议）、AFP（仅为支持旧版MacOS终端（≤10.13 High Sierra）），已禁用FTP（不符合安全要求） |
| SMB协议详细配置参数         | 终端（`smbutil statshares -a`、`cat /etc/nsmb.conf`） | 表格（参数名称、当前值、默认值、调整原因（如有）） | 需包含所有已自定义的参数，默认值可通过苹果官方文档查询（https://support.apple.com/zh-cn/guide/mac-help/mchlp1004/mac），示例：max_open_files：10000（默认1024），调整原因：提升文件批量传输能力；encrypt：required（默认if_required），调整原因：强制内部传输加密 |
| AFP协议详细配置参数         | 终端（`cat /etc/afp.conf`）       | 表格（同SMB）                     | 示例：vol size limit：none（默认2TB），调整原因：外部存储容量已达18TB；allow sendfile：yes（默认yes），调整原因：提升大文件传输效率 |
| 用户/用户组权限配置         | 系统偏好设置→用户与群组/终端（`dscl . list /Users`、`dscl . list /Groups`、`ls -la /Volumes/DesignFiles-Share`） | 表格（用户名/用户组名、所属部门/角色、UID/GID、文件共享根目录权限（rwx/数字）、子目录权限（如有特殊配置）） | 需覆盖所有活跃用户和用户组，示例：用户名：zhangsan（设计师）；UID：501；用户组名：Design-Team-UI；GID：1001；根目录权限：rwxr-xr-x（755）；子目录权限：UI-202X-Q4项目→rwxrwx---（770），仅允许UI组和项目负责人访问 |
| 系统进程资源限制            | 终端（`sysctl kern.maxproc`、`sysctl kern.maxprocperuid`） | 表格（参数名称、当前值、默认值、调整原因（如有）） | 示例：kern.maxproc：1000（默认500），调整原因：支持更多的并发SMB/AFP连接；kern.maxprocperuid：800（默认400），调整原因：单个设计师可能会发起多个Finder窗口和文件传输请求 |
| 系统启动项与后台服务配置    | 系统偏好设置→用户与群组→登录项/终端（`launchctl list`、`system_profiler SPStartupItemDataType`） | 表格（进程/服务名称、PID、启动类型（系统/用户/第三方）、资源消耗占比（近7天平均CPU/内存）、功能说明） | 需筛选出与文件共享功能直接或间接相关的服务，示例：进程/服务名称：smbd（PID：1234）；启动类型：系统；近7天平均CPU：5%，内存：1.2GB；功能说明：SMB文件共享服务主进程 |

### 3.2 第三方软件与工具配置
| 收集项                     | 数据来源                          | 格式要求                          | 详细说明/示例                                                                 |
|----------------------------|-----------------------------------|-----------------------------------|-----------------------------------------------------------------------------|
| 第三方备份软件              | 应用程序文件夹/终端（`mdfind -name "*Backup*"`） | 结构化文本                        | 需明确是否启用了自动备份、备份策略、备份目标，示例：已安装Time Machine本地备份（备份至内部NVMe SSD的1TB分区，每日凌晨2点自动增量备份）、Carbon Copy Cloner远程备份（备份至公司NAS的20TB共享文件夹，每周日凌晨3点自动全量备份，每日凌晨3点增量同步差异文件） |
| 第三方权限管理/审计工具     | 应用程序文件夹/系统偏好设置→隐私与安全性→应用程序管理 | 结构化文本                        | 需明确是否有工具增强了原生的权限管理和审计功能，示例：已安装 Jamf Pro MDM工具，用于统一管理用户权限、推送安全策略、收集系统/应用程序的使用日志，审计日志保留时间为6个月 |
| 第三方性能监控工具         | 应用程序文件夹/系统偏好设置→隐私与安全性→辅助功能 | 结构化文本                        | 示例：已安装 iStat Menus 6.8.3，实时监控CPU/内存/磁盘I/O/网络使用率，并在系统菜单栏显示；已安装 Apple Server（旧版，用于可视化管理SMB/AFP连接数和流量） |
| 第三方文件压缩/解压工具     | 应用程序文件夹/终端（`which zip`、`which unzip`、`which 7z`） | 结构化文本                        | 需明确是否有工具用于处理文件共享中的压缩包，是否有自动解压/压缩策略，示例：已安装 The Unarchiver，用于解压常见格式（RAR/ZIP/7z/TAR.gz）的压缩包，无自动解压策略，需用户手动操作 |

---

## 四、性能监控数据需求清单
### 4.1 历史性能监控数据（至少覆盖最近1个月，高峰/低谷期各选3天）
#### 4.1.1 CPU性能监控数据
| 收集项                     | 数据来源                          | 格式要求                          | 详细说明/示例                                                                 |
|----------------------------|-----------------------------------|-----------------------------------|-----------------------------------------------------------------------------|
| 近1个月每日平均CPU使用率    | iStat Menus历史日志/Apple Server历史报告/第三方监控工具（如Zabbix/Nagios） | 表格（日期、平均CPU使用率、性能核平均使用率、能效核平均使用率） | 需按天统计，示例：日期：202X-09-01；平均CPU：32%；性能核平均：45%；能效核平均：18% |
| 近1个月每日CPU峰值使用率    | 同4.1.1.1                         | 表格（日期、峰值CPU使用率、峰值时间、触发场景（如有）） | 需标注触发场景，示例：日期：202X-09-15；峰值CPU：98%；峰值时间：14:30-14:45；触发场景：设计部设计师批量下载202X-Q4项目的3D建模源文件（OBJ/FBX格式，单文件体积≥500MB） |
| 高峰/低谷期各3天的CPU使用率小时趋势 | 同4.1.1.1                         | 折线图（X轴：时间（00:00-23:59），Y轴：CPU使用率（0%-100%）） | 需分别生成高峰期（如每周二/周三/周四的10:00-18:00）和低谷期（如每周日/周一凌晨的00:00
