ligand_name,smiles,denticity,bite_angle,linear_selectivity,temperature,solvent,reference,ligand_class,MW,LogP,TPSA,NumHDonors,NumHAcceptors,NumRotatableBonds,NumRings,P_atoms,O_atoms,HeavyAtoms
PPh3_120C_hexane,c1ccc(P(c2ccccc2)c2ccccc2)cc1,1,,22,120,hexane,This work / SAR Modeling,phosphine,262.29200000000003,3.4448000000000016,0.0,0,0,3,3,1,0,19
PPh3_120C_benzene,c1ccc(P(c2ccccc2)c2ccccc2)cc1,1,,24,120,benzene,This work / SAR Modeling,phosphine,262.29200000000003,3.4448000000000016,0.0,0,0,3,3,1,0,19
PPh3_130C_toluene,c1ccc(P(c2ccccc2)c2ccccc2)cc1,1,,23,130,toluene,This work / SAR Modeling,phosphine,262.29200000000003,3.4448000000000016,0.0,0,0,3,3,1,0,19
PPh3_130C_THF,c1ccc(P(c2ccccc2)c2ccccc2)cc1,1,,20,130,THF,This work / SAR Modeling,phosphine,262.29200000000003,3.4448000000000016,0.0,0,0,3,3,1,0,19
PPh3_130C_dioxane,c1ccc(P(c2ccccc2)c2ccccc2)cc1,1,,19,130,dioxane,This work / SAR Modeling,phosphine,262.29200000000003,3.4448000000000016,0.0,0,0,3,3,1,0,19
PPh3_130C_hexane,c1ccc(P(c2ccccc2)c2ccccc2)cc1,1,,22,130,hexane,This work / SAR Modeling,phosphine,262.29200000000003,3.4448000000000016,0.0,0,0,3,3,1,0,19
PPh3_130C_benzene,c1ccc(P(c2ccccc2)c2ccccc2)cc1,1,,23,130,benzene,This work / SAR Modeling,phosphine,262.29200000000003,3.4448000000000016,0.0,0,0,3,3,1,0,19
P(o-Tol)3,Cc1cccc(P(c2cccc(C)c2)c2cccc(C)c2)c1,1,,42,100,toluene,"Inorg. Chem. 1974, 13, 3043",phosphine,304.3730000000001,4.370060000000003,0.0,0,0,3,3,1,0,22
P(o-Tol)3_70C_toluene,Cc1cccc(P(c2cccc(C)c2)c2cccc(C)c2)c1,1,,46,70,toluene,This work / SAR Modeling,phosphine,304.3730000000001,4.370060000000003,0.0,0,0,3,3,1,0,22
P(o-Tol)3_70C_THF,Cc1cccc(P(c2cccc(C)c2)c2cccc(C)c2)c1,1,,42,70,THF,This work / SAR Modeling,phosphine,304.3730000000001,4.370060000000003,0.0,0,0,3,3,1,0,22
P(o-Tol)3_70C_hexane,Cc1cccc(P(c2cccc(C)c2)c2cccc(C)c2)c1,1,,50,70,hexane,This work / SAR Modeling,phosphine,304.3730000000001,4.370060000000003,0.0,0,0,3,3,1,0,22
P(o-Tol)3_70C_benzene,Cc1cccc(P(c2cccc(C)c2)c2cccc(C)c2)c1,1,,43,70,benzene,This work / SAR Modeling,phosphine,304.3730000000001,4.370060000000003,0.0,0,0,3,3,1,0,22
P(o-Tol)3_80C_toluene,Cc1cccc(P(c2cccc(C)c2)c2cccc(C)c2)c1,1,,44,80,toluene,This work / SAR Modeling,phosphine,304.3730000000001,4.370060000000003,0.0,0,0,3,3,1,0,22
P(o-Tol)3_80C_dioxane,Cc1cccc(P(c2cccc(C)c2)c2cccc(C)c2)c1,1,,43,80,dioxane,This work / SAR Modeling,phosphine,304.3730000000001,4.370060000000003,0.0,0,0,3,3,1,0,22
P(o-Tol)3_80C_hexane,Cc1cccc(P(c2cccc(C)c2)c2cccc(C)c2)c1,1,,49,80,hexane,This work / SAR Modeling,phosphine,304.3730000000001,4.370060000000003,0.0,0,0,3,3,1,0,22
P(o-Tol)3_80C_xylene,Cc1cccc(P(c2cccc(C)c2)c2cccc(C)c2)c1,1,,48,80,xylene,This work / SAR Modeling,phosphine,304.3730000000001,4.370060000000003,0.0,0,0,3,3,1,0,22
P(o-Tol)3_90C_toluene,Cc1cccc(P(c2cccc(C)c2)c2cccc(C)c2)c1,1,,44,90,toluene,This work / SAR Modeling,phosphine,304.3730000000001,4.370060000000003,0.0,0,0,3,3,1,0,22
P(o-Tol)3_90C_THF,Cc1cccc(P(c2cccc(C)c2)c2cccc(C)c2)c1,1,,40,90,THF,This work / SAR Modeling,phosphine,304.3730000000001,4.370060000000003,0.0,0,0,3,3,1,0,22
P(o-Tol)3_90C_dioxane,Cc1cccc(P(c2cccc(C)c2)c2cccc(C)c2)c1,1,,43,90,dioxane,This work / SAR Modeling,phosphine,304.3730000000001,4.370060000000003,0.0,0,0,3,3,1,0,22
P(o-Tol)3_90C_hexane,Cc1cccc(P(c2cccc(C)c2)c2cccc(C)c2)c1,1,,45,90,hexane,This work / SAR Modeling,phosphine,304.3730000000001,4.370060000000003,0.0,0,0,3,3,1,0,22
P(o-Tol)3_90C_benzene,Cc1cccc(P(c2cccc(C)c2)c2cccc(C)c2)c1,1,,44,90,benzene,This work / SAR Modeling,phosphine,304.3730000000001,4.370060000000003,0.0,0,0,3,3,1,0,22
P(o-Tol)3_90C_xylene,Cc1cccc(P(c2cccc(C)c2)c2cccc(C)c2)c1,1,,46,90,xylene,This work / SAR Modeling,phosphine,304.3730000000001,4.370060000000003,0.0,0,0,3,3,1,0,22
P(o-Tol)3_100C_THF,Cc1cccc(P(c2cccc(C)c2)c2cccc(C)c2)c1,1,,39,100,THF,This work / SAR Modeling,phosphine,304.3730000000001,4.370060000000003,0.0,0,0,3,3,1,0,22
P(o-Tol)3_100C_dioxane,Cc1cccc(P(c2cccc(C)c2)c2cccc(C)c2)c1,1,,41,100,dioxane,This work / SAR Modeling,phosphine,304.3730000000001,4.370060000000003,0.0,0,0,3,3,1,0,22
P(o-Tol)3_100C_hexane,Cc1cccc(P(c2cccc(C)c2)c2cccc(C)c2)c1,1,,45,100,hexane,This work / SAR Modeling,phosphine,304.3730000000001,4.370060000000003,0.0,0,0,3,3,1,0,22
P(o-Tol)3_100C_benzene,Cc1cccc(P(c2cccc(C)c2)c2cccc(C)c2)c1,1,,37,100,benzene,This work / SAR Modeling,phosphine,304.3730000000001,4.370060000000003,0.0,0,0,3,3,1,0,22
P(o-Tol)3_100C_xylene,Cc1cccc(P(c2cccc(C)c2)c2cccc(C)c2)c1,1,,44,100,xylene,This work / SAR Modeling,phosphine,304.3730000000001,4.370060000000003,0.0,0,0,3,3,1,0,22
P(o-Tol)3_110C_toluene,Cc1cccc(P(c2cccc(C)c2)c2cccc(C)c2)c1,1,,37,110,toluene,This work / SAR Modeling,phosphine,304.3730000000001,4.370060000000003,0.0,0,0,3,3,1,0,22
P(o-Tol)3_110C_xylene,Cc1cccc(P(c2cccc(C)c2)c2cccc(C)c2)c1,1,,41,110,xylene,This work / SAR Modeling,phosphine,304.3730000000001,4.370060000000003,0.0,0,0,3,3,1,0,22
P(o-Tol)3_120C_toluene,Cc1cccc(P(c2cccc(C)c2)c2cccc(C)c2)c1,1,,39,120,toluene,This work / SAR Modeling,phosphine,304.3730000000001,4.370060000000003,0.0,0,0,3,3,1,0,22
P(o-Tol)3_120C_THF,Cc1cccc(P(c2cccc(C)c2)c2cccc(C)c2)c1,1,,35,120,THF,This work / SAR Modeling,phosphine,304.3730000000001,4.370060000000003,0.0,0,0,3,3,1,0,22
P(o-Tol)3_120C_dioxane,Cc1cccc(P(c2cccc(C)c2)c2cccc(C)c2)c1,1,,36,120,dioxane,This work / SAR Modeling,phosphine,304.3730000000001,4.370060000000003,0.0,0,0,3,3,1,0,22
P(o-Tol)3_120C_hexane,Cc1cccc(P(c2cccc(C)c2)c2cccc(C)c2)c1,1,,45,120,hexane,This work / SAR Modeling,phosphine,304.3730000000001,4.370060000000003,0.0,0,0,3,3,1,0,22
P(o-Tol)3_120C_xylene,Cc1cccc(P(c2cccc(C)c2)c2cccc(C)c2)c1,1,,42,120,xylene,This work / SAR Modeling,phosphine,304.3730000000001,4.370060000000003,0.0,0,0,3,3,1,0,22
P(o-Tol)3_130C_toluene,Cc1cccc(P(c2cccc(C)c2)c2cccc(C)c2)c1,1,,38,130,toluene,This work / SAR Modeling,phosphine,304.3730000000001,4.370060000000003,0.0,0,0,3,3,1,0,22
P(o-Tol)3_130C_dioxane,Cc1cccc(P(c2cccc(C)c2)c2cccc(C)c2)c1,1,,40,130,dioxane,This work / SAR Modeling,phosphine,304.3730000000001,4.370060000000003,0.0,0,0,3,3,1,0,22
P(o-Tol)3_130C_hexane,Cc1cccc(P(c2cccc(C)c2)c2cccc(C)c2)c1,1,,42,130,hexane,This work / SAR Modeling,phosphine,304.3730000000001,4.370060000000003,0.0,0,0,3,3,1,0,22
P(o-Tol)3_130C_benzene,Cc1cccc(P(c2cccc(C)c2)c2cccc(C)c2)c1,1,,38,130,benzene,This work / SAR Modeling,phosphine,304.3730000000001,4.370060000000003,0.0,0,0,3,3,1,0,22
P(o-Tol)3_130C_xylene,Cc1cccc(P(c2cccc(C)c2)c2cccc(C)c2)c1,1,,37,130,xylene,This work / SAR Modeling,phosphine,304.3730000000001,4.370060000000003,0.0,0,0,3,3,1,0,22
P(p-Tol)3,Cc1ccc(P(c2ccc(C)cc2)c2ccc(C)cc2)cc1,1,,28,100,toluene,"Adv. Synth. Catal. 2004, 346, 877",phosphine,304.37300000000005,4.370060000000003,0.0,0,0,3,3,1,0,22
P(p-Tol)3_70C_toluene,Cc1ccc(P(c2ccc(C)cc2)c2ccc(C)cc2)cc1,1,,29,70,toluene,This work / SAR Modeling,phosphine,304.37300000000005,4.370060000000003,0.0,0,0,3,3,1,0,22
P(p-Tol)3_70C_benzene,Cc1ccc(P(c2ccc(C)cc2)c2ccc(C)cc2)cc1,1,,29,70,benzene,This work / SAR Modeling,phosphine,304.37300000000005,4.370060000000003,0.0,0,0,3,3,1,0,22
P(p-Tol)3_70C_xylene,Cc1ccc(P(c2ccc(C)cc2)c2ccc(C)cc2)cc1,1,,32,70,xylene,This work / SAR Modeling,phosphine,304.37300000000005,4.370060000000003,0.0,0,0,3,3,1,0,22
P(p-Tol)3_80C_toluene,Cc1ccc(P(c2ccc(C)cc2)c2ccc(C)cc2)cc1,1,,27,80,toluene,This work / SAR Modeling,phosphine,304.37300000000005,4.370060000000003,0.0,0,0,3,3,1,0,22
P(p-Tol)3_80C_THF,Cc1ccc(P(c2ccc(C)cc2)c2ccc(C)cc2)cc1,1,,30,80,THF,This work / SAR Modeling,phosphine,304.37300000000005,4.370060000000003,0.0,0,0,3,3,1,0,22
P(p-Tol)3_80C_dioxane,Cc1ccc(P(c2ccc(C)cc2)c2ccc(C)cc2)cc1,1,,29,80,dioxane,This work / SAR Modeling,phosphine,304.37300000000005,4.370060000000003,0.0,0,0,3,3,1,0,22
P(p-Tol)3_80C_benzene,Cc1ccc(P(c2ccc(C)cc2)c2ccc(C)cc2)cc1,1,,27,80,benzene,This work / SAR Modeling,phosphine,304.37300000000005,4.370060000000003,0.0,0,0,3,3,1,0,22
P(p-Tol)3_80C_xylene,Cc1ccc(P(c2ccc(C)cc2)c2ccc(C)cc2)cc1,1,,30,80,xylene,This work / SAR Modeling,phosphine,304.37300000000005,4.370060000000003,0.0,0,0,3,3,1,0,22
P(p-Tol)3_90C_toluene,Cc1ccc(P(c2ccc(C)cc2)c2ccc(C)cc2)cc1,1,,27,90,toluene,This work / SAR Modeling,phosphine,304.37300000000005,4.370060000000003,0.0,0,0,3,3,1,0,22
P(p-Tol)3_90C_THF,Cc1ccc(P(c2ccc(C)cc2)c2ccc(C)cc2)cc1,1,,24,90,THF,This work / SAR Modeling,phosphine,304.37300000000005,4.370060000000003,0.0,0,0,3,3,1,0,22
P(p-Tol)3_90C_dioxane,Cc1ccc(P(c2ccc(C)cc2)c2ccc(C)cc2)cc1,1,,28,90,dioxane,This work / SAR Modeling,phosphine,304.37300000000005,4.370060000000003,0.0,0,0,3,3,1,0,22
P(p-Tol)3_90C_hexane,Cc1ccc(P(c2ccc(C)cc2)c2ccc(C)cc2)cc1,1,,31,90,hexane,This work / SAR Modeling,phosphine,304.37300000000005,4.370060000000003,0.0,0,0,3,3,1,0,22
P(p-Tol)3_90C_benzene,Cc1ccc(P(c2ccc(C)cc2)c2ccc(C)cc2)cc1,1,,30,90,benzene,This work / SAR Modeling,phosphine,304.37300000000005,4.370060000000003,0.0,0,0,3,3,1,0,22
P(p-Tol)3_90C_xylene,Cc1ccc(P(c2ccc(C)cc2)c2ccc(C)cc2)cc1,1,,28,90,xylene,This work / SAR Modeling,phosphine,304.37300000000005,4.370060000000003,0.0,0,0,3,3,1,0,22
P(p-Tol)3_100C_toluene,Cc1ccc(P(c2ccc(C)cc2)c2ccc(C)cc2)cc1,1,,23,100,toluene,This work / SAR Modeling,phosphine,304.37300000000005,4.370060000000003,0.0,0,0,3,3,1,0,22
P(p-Tol)3_100C_dioxane,Cc1ccc(P(c2ccc(C)cc2)c2ccc(C)cc2)cc1,1,,27,100,dioxane,This work / SAR Modeling,phosphine,304.37300000000005,4.370060000000003,0.0,0,0,3,3,1,0,22
P(p-Tol)3_100C_hexane,Cc1ccc(P(c2ccc(C)cc2)c2ccc(C)cc2)cc1,1,,27,100,hexane,This work / SAR Modeling,phosphine,304.37300000000005,4.370060000000003,0.0,0,0,3,3,1,0,22
P(p-Tol)3_100C_benzene,Cc1ccc(P(c2ccc(C)cc2)c2ccc(C)cc2)cc1,1,,30,100,benzene,This work / SAR Modeling,phosphine,304.37300000000005,4.370060000000003,0.0,0,0,3,3,1,0,22
P(p-Tol)3_110C_toluene,Cc1ccc(P(c2ccc(C)cc2)c2ccc(C)cc2)cc1,1,,28,110,toluene,This work / SAR Modeling,phosphine,304.37300000000005,4.370060000000003,0.0,0,0,3,3,1,0,22
P(p-Tol)3_110C_dioxane,Cc1ccc(P(c2ccc(C)cc2)c2ccc(C)cc2)cc1,1,,24,110,dioxane,This work / SAR Modeling,phosphine,304.37300000000005,4.370060000000003,0.0,0,0,3,3,1,0,22
P(p-Tol)3_110C_hexane,Cc1ccc(P(c2ccc(C)cc2)c2ccc(C)cc2)cc1,1,,27,110,hexane,This work / SAR Modeling,phosphine,304.37300000000005,4.370060000000003,0.0,0,0,3,3,1,0,22
P(p-Tol)3_110C_benzene,Cc1ccc(P(c2ccc(C)cc2)c2ccc(C)cc2)cc1,1,,28,110,benzene,This work / SAR Modeling,phosphine,304.37300000000005,4.370060000000003,0.0,0,0,3,3,1,0,22
P(p-Tol)3_120C_toluene,Cc1ccc(P(c2ccc(C)cc2)c2ccc(C)cc2)cc1,1,,28,120,toluene,This work / SAR Modeling,phosphine,304.37300000000005,4.370060000000003,0.0,0,0,3,3,1,0,22
P(p-Tol)3_120C_dioxane,Cc1ccc(P(c2ccc(C)cc2)c2ccc(C)cc2)cc1,1,,26,120,dioxane,This work / SAR Modeling,phosphine,304.37300000000005,4.370060000000003,0.0,0,0,3,3,1,0,22
P(p-Tol)3_120C_benzene,Cc1ccc(P(c2ccc(C)cc2)c2ccc(C)cc2)cc1,1,,27,120,benzene,This work / SAR Modeling,phosphine,304.37300000000005,4.370060000000003,0.0,0,0,3,3,1,0,22
P(p-Tol)3_120C_xylene,Cc1ccc(P(c2ccc(C)cc2)c2ccc(C)cc2)cc1,1,,27,120,xylene,This work / SAR Modeling,phosphine,304.37300000000005,4.370060000000003,0.0,0,0,3,3,1,0,22
P(p-Tol)3_130C_toluene,Cc1ccc(P(c2ccc(C)cc2)c2ccc(C)cc2)cc1,1,,23,130,toluene,This work / SAR Modeling,phosphine,304.37300000000005,4.370060000000003,0.0,0,0,3,3,1,0,22
P(p-Tol)3_130C_hexane,Cc1ccc(P(c2ccc(C)cc2)c2ccc(C)cc2)cc1,1,,27,130,hexane,This work / SAR Modeling,phosphine,304.37300000000005,4.370060000000003,0.0,0,0,3,3,1,0,22
P(p-Tol)3_130C_xylene,Cc1ccc(P(c2ccc(C)cc2)c2ccc(C)cc2)cc1,1,,25,130,xylene,This work / SAR Modeling,phosphine,304.37300000000005,4.370060000000003,0.0,0,0,3,3,1,0,22
P(m-Tol)3,Cc1cc(ccc1)P(c1cc(C)ccc1)c1cc(C)ccc1,1,,30,100,toluene,"J. Chem. Soc., Chem. Commun. 1973, 876",phosphine,304.37300000000005,4.370060000000003,0.0,0,0,3,3,1,0,22
P(m-Tol)3_70C_hexane,Cc1cc(ccc1)P(c1cc(C)ccc1)c1cc(C)ccc1,1,,34,70,hexane,This work / SAR Modeling,phosphine,304.37300000000005,4.370060000000003,0.0,0,0,3,3,1,0,22
P(m-Tol)3_70C_benzene,Cc1cc(ccc1)P(c1cc(C)ccc1)c1cc(C)ccc1,1,,32,70,benzene,This work / SAR Modeling,phosphine,304.37300000000005,4.370060000000003,0.0,0,0,3,3,1,0,22
P(m-Tol)3_80C_dioxane,Cc1cc(ccc1)P(c1cc(C)ccc1)c1cc(C)ccc1,1,,36,80,dioxane,This work / SAR Modeling,phosphine,304.37300000000005,4.370060000000003,0.0,0,0,3,3,1,0,22
P(m-Tol)3_80C_hexane,Cc1cc(ccc1)P(c1cc(C)ccc1)c1cc(C)ccc1,1,,35,80,hexane,This work / SAR Modeling,phosphine,304.37300000000005,4.370060000000003,0.0,0,0,3,3,1,0,22
P(m-Tol)3_80C_benzene,Cc1cc(ccc1)P(c1cc(C)ccc1)c1cc(C)ccc1,1,,33,80,benzene,This work / SAR Modeling,phosphine,304.37300000000005,4.370060000000003,0.0,0,0,3,3,1,0,22
P(m-Tol)3_90C_THF,Cc1cc(ccc1)P(c1cc(C)ccc1)c1cc(C)ccc1,1,,33,90,THF,This work / SAR Modeling,phosphine,304.37300000000005,4.370060000000003,0.0,0,0,3,3,1,0,22
P(m-Tol)3_90C_dioxane,Cc1cc(ccc1)P(c1cc(C)ccc1)c1cc(C)ccc1,1,,30,90,dioxane,This work / SAR Modeling,phosphine,304.37300000000005,4.370060000000003,0.0,0,0,3,3,1,0,22
P(m-Tol)3_90C_hexane,Cc1cc(ccc1)P(c1cc(C)ccc1)c1cc(C)ccc1,1,,33,90,hexane,This work / SAR Modeling,phosphine,304.37300000000005,4.370060000000003,0.0,0,0,3,3,1,0,22
P(m-Tol)3_90C_benzene,Cc1cc(ccc1)P(c1cc(C)ccc1)c1cc(C)ccc1,1,,31,90,benzene,This work / SAR Modeling,phosphine,304.37300000000005,4.370060000000003,0.0,0,0,3,3,1,0,22
P(m-Tol)3_90C_xylene,Cc1cc(ccc1)P(c1cc(C)ccc1)c1cc(C)ccc1,1,,30,90,xylene,This work / SAR Modeling,phosphine,304.37300000000005,4.370060000000003,0.0,0,0,3,3,1,0,22
P(m-Tol)3_100C_toluene,Cc1cc(ccc1)P(c1cc(C)ccc1)c1cc(C)ccc1,1,,27,100,toluene,This work / SAR Modeling,phosphine,304.37300000000005,4.370060000000003,0.0,0,0,3,3,1,0,22
P(m-Tol)3_100C_dioxane,Cc1cc(ccc1)P(c1cc(C)ccc1)c1cc(C)ccc1,1,,28,100,dioxane,This work / SAR Modeling,phosphine,304.37300000000005,4.370060000000003,0.0,0,0,3,3,1,0,22
P(m-Tol)3_100C_hexane,Cc1cc(ccc1)P(c1cc(C)ccc1)c1cc(C)ccc1,1,,30,100,hexane,This work / SAR Modeling,phosphine,304.37300000000005,4.370060000000003,0.0,0,0,3,3,1,0,22
P(m-Tol)3_100C_xylene,Cc1cc(ccc1)P(c1cc(C)ccc1)c1cc(C)ccc1,1,,28,100,xylene,This work / SAR Modeling,phosphine,304.37300000000005,4.370060000000003,0.0,0,0,3,3,1,0,22
P(m-Tol)3_110C_THF,Cc1cc(ccc1)P(c1cc(C)ccc1)c1cc(C)ccc1,1,,24,110,THF,This work / SAR Modeling,phosphine,304.37300000000005,4.370060000000003,0.0,0,0,3,3,1,0,22
P(m-Tol)3_110C_dioxane,Cc1cc(ccc1)P(c1cc(C)ccc1)c1cc(C)ccc1,1,,31,110,dioxane,This work / SAR Modeling,phosphine,304.37300000000005,4.370060000000003,0.0,0,0,3,3,1,0,22
P(m-Tol)3_110C_benzene,Cc1cc(ccc1)P(c1cc(C)ccc1)c1cc(C)ccc1,1,,28,110,benzene,This work / SAR Modeling,phosphine,304.37300000000005,4.370060000000003,0.0,0,0,3,3,1,0,22
P(m-Tol)3_110C_xylene,Cc1cc(ccc1)P(c1cc(C)ccc1)c1cc(C)ccc1,1,,31,110,xylene,This work / SAR Modeling,phosphine,304.37300000000005,4.370060000000003,0.0,0,0,3,3,1,0,22
P(m-Tol)3_120C_toluene,Cc1cc(ccc1)P(c1cc(C)ccc1)c1cc(C)ccc1,1,,30,120,toluene,This work / SAR Modeling,phosphine,304.37300000000005,4.370060000000003,0.0,0,0,3,3,1,0,22
P(m-Tol)3_120C_THF,Cc1cc(ccc1)P(c1cc(C)ccc1)c1cc(C)ccc1,1,,26,120,THF,This work / SAR Modeling,phosphine,304.37300000000005,4.370060000000003,0.0,0,0,3,3,1,0,22
P(m-Tol)3_120C_hexane,Cc1cc(ccc1)P(c1cc(C)ccc1)c1cc(C)ccc1,1,,28,120,hexane,This work / SAR Modeling,phosphine,304.37300000000005,4.370060000000003,0.0,0,0,3,3,1,0,22
P(m-Tol)3_120C_benzene,Cc1cc(ccc1)P(c1cc(C)ccc1)c1cc(C)ccc1,1,,26,120,benzene,This work / SAR Modeling,phosphine,304.37300000000005,4.370060000000003,0.0,0,0,3,3,1,0,22
P(m-Tol)3_120C_xylene,Cc1cc(ccc1)P(c1cc(C)ccc1)c1cc(C)ccc1,1,,29,120,xylene,This work / SAR Modeling,phosphine,304.37300000000005,4.370060000000003,0.0,0,0,3,3,1,0,22
P(m-Tol)3_130C_toluene,Cc1cc(ccc1)P(c1cc(C)ccc1)c1cc(C)ccc1,1,,24,130,toluene,This work / SAR Modeling,phosphine,304.37300000000005,4.370060000000003,0.0,0,0,3,3,1,0,22
P(m-Tol)3_130C_dioxane,Cc1cc(ccc1)P(c1cc(C)ccc1)c1cc(C)ccc1,1,,26,130,dioxane,This work / SAR Modeling,phosphine,304.37300000000005,4.370060000000003,0.0,0,0,3,3,1,0,22
P(m-Tol)3_130C_hexane,Cc1cc(ccc1)P(c1cc(C)ccc1)c1cc(C)ccc1,1,,28,130,hexane,This work / SAR Modeling,phosphine,304.37300000000005,4.370060000000003,0.0,0,0,3,3,1,0,22
P(m-Tol)3_130C_benzene,Cc1cc(ccc1)P(c1cc(C)ccc1)c1cc(C)ccc1,1,,28,130,benzene,This work / SAR Modeling,phosphine,304.37300000000005,4.370060000000003,0.0,0,0,3,3,1,0,22
P(m-Tol)3_130C_xylene,Cc1cc(ccc1)P(c1cc(C)ccc1)c1cc(C)ccc1,1,,30,130,xylene,This work / SAR Modeling,phosphine,304.37300000000005,4.370060000000003,0.0,0,0,3,3,1,0,22
