# 目标客户跟进记录模板

> 任务: 整理2026年Q1 12个目标客户跟进记录并更新销售漏斗
> 附件类型: 数据录入模板
> 生成时间: 2026-05-05 17:09

# 2026年Q1 目标客户跟进记录与销售漏斗更新模板

## 适用范围与使用说明
本模板专为销售团队设计，用于系统化跟踪12个重点目标客户的季度跟进活动，并同步更新销售漏斗状态。模板集成了客户接触点记录、意向评估、漏斗阶段归类和下一步行动规划，确保每个客户的跟进流程透明化、可追溯。使用者应为销售经理、客户经理或相关BD人员，建议每周更新一次，并在季度末汇总为销售漏斗报告。

## 模板结构总览
| 序号 | 字段名称 | 字段类型 | 必填 | 填写说明 |
|------|----------|----------|------|----------|
| 1 | 客户名称 | 文本 | 是 | 公司全称或简称，确保唯一性 |
| 2 | 跟进日期 | 日期 | 是 | 格式：YYYY-MM-DD |
| 3 | 联系人及职位 | 文本 | 是 | 姓名+职位，例如：张三，采购总监 |
| 4 | 沟通渠道 | 下拉选择 | 是 | 电话 / 邮件 / 会议 / 即时通讯 |
| 5 | 沟通内容摘要 | 长文本 | 是 | 关键讨论点、需求、异议等，不少于30字 |
| 6 | 客户兴趣度 | 下拉选择 | 是 | 高 / 中 / 低 |
| 7 | 销售漏斗阶段 | 下拉选择 | 是 | 线索 / 意向 / 方案 / 谈判 / 成交 |
| 8 | 下一步行动计划 | 文本 | 是 | 具体可执行动作，包括负责人与时间 |
| 9 | 预计下一跟进日期 | 日期 | 是 | 格式：YYYY-MM-DD |
| 10 | 备注 | 文本 | 否 | 风险提示、特殊需求、内部协调事项 |

## 详细字段填写指南

### 1. 客户名称
- **填写规则**：统一使用工商注册名称，避免简写歧义。若为集团子公司，应标注层级关系，例如“华为技术有限公司（云计算事业部）”。
- **示例**：腾讯云科技有限公司；阿里巴巴（中国）网络技术有限公司；字节跳动有限公司（飞书团队）

### 2. 跟进日期
- **填写规则**：每次联系后当天填写，时间统一为北京时间。若为连续多日展会沟通，可记录为展会开始日。
- **示例**：2026-01-15；2026-02-28；2026-03-10

### 3. 联系人及职位
- **填写规则**：优先记录决策人、关键影响人或使用方负责人。若联系多人，按重要性顺序列出，用分号隔开。
- **示例**：李四，技术副总裁；王五，采购经理；赵六，项目总监

### 4. 沟通渠道
- **可选值**：电话 | 邮件 | 会议（线上/线下） | 即时通讯（微信/钉钉/飞书等）
| 销售漏斗阶段 | 意向 |
| 下一步行动计划 | 售前工程师王磊在1月24日前输出技术兼容性分析文档，并发给客户确认；同时协调内部产研团队预留POC资源。 |
| 预计下一跟进日期 | 2026-01-28 |
| 备注 | 客户内部流程较长，需提前准备POC环境，预算审批周期约2个月。 |

### 示例客户3：药明康德新药开发有限公司
| 字段 | 内容 |
|------|------|
| 客户名称 | 药明康德新药开发有限公司（上海总部） |
| 跟进日期 | 2026-01-22 |
| 联系人及职位 | 刘健，IT总监 |
| 沟通渠道 | 邮件 |
| 沟通内容摘要 | 客户回复了此前发送的《生物制药研发云平台方案》，认可方案中关于数据安全合规部分的架构设计，但指出报价超预算约30%。客户要求我方重新提交一份“标准化版本”，降低定制化功能以匹配现有预算。 |
| 客户兴趣度 | 中 |
| 销售漏斗阶段 | 谈判 |
| 下一步行动计划 | 产品经理陈静与销售总监李涛在1月28日前完成成本压缩方案，提供高、中、低三档报价选择，并通过邮件发送客户CIO。 |
| 预计下一跟进日期 | 2026-01-31 |
| 备注 | 客户为典型低价导向，但技术团队态度积极，可尝试以更长期限合同换取价格优惠。 |

### 示例客户4：特斯拉上海超级工厂
| 字段 | 内容 |
|------|------|
| 客户名称 | 特斯拉（上海）有限公司 |
| 跟进日期 | 2026-01-25 |
| 联系人及职位 | Mike Johnson，采购经理 |
| 沟通渠道 | 会议（线上） |
| 沟通内容摘要 | 客户方提出需要一套智能仓储管理系统，用于管理锂电池原材料库存。我方演示了WMS与MES的集成方案，客户对自动盘点功能非常满意，但对系统的实施时长（4个月）表示担忧，希望压缩至2个月。我方告知标准周期无法缩短，但可加急需额外收费。客户表示需内部再议。 |
| 客户兴趣度 | 低 |
| 销售漏斗阶段 | 方案 |
| 下一步行动计划 | 销售王芳整理一份“加急实施方案白皮书”，说明缩短至2个月可能产生的风险（测试不足、培训压缩），在1月30日前发给客户CTO及采购部。 |
| 预计下一跟进日期 | 2026-02-05 |
| 备注 | 客户对时间极度敏感，可能是其他供应商以更短周期承诺抢夺订单，需警惕。 |

### 示例客户5：上海医药集团股份有限公司
| 字段 | 内容 |
|------|------|
| 客户名称 | 上海医药集团股份有限公司 |
| 跟进日期 | 2026-02-01 |
| 联系人及职位 | 赵敏，供应链总监 |
| 沟通渠道 | 电话 |
| 沟通内容摘要 | 客户表示目前集团正在整合旗下多个药厂的ERP系统，计划采购统一的数据中台。我方了解其当前使用SAP和用友两种系统，且各厂数据标准不一。建议先进行数据治理咨询项目，但客户倾向于直接采购平台，未明确接受建议。 |
| 客户兴趣度 | 中 |
| 销售漏斗阶段 | 意向 |
| 下一步行动计划 | 销售刘敏准备一份《上药集团数据治理与中台建设路线图》，突出先治理后实施的成功案例，于2月8日前发送客户。 |
| 预计下一跟进日期 | 2026-02-12 |
| 备注 | 客户内部决策链复杂，多个子公司有独立IT预算，需摸清真正决策人。 |

### 示例客户6：比亚迪股份有限公司
| 字段 | 内容 |
|------|------|
| 客户名称 | 比亚迪股份有限公司（深圳总部） |
| 跟进日期 | 2026-02-05 |
| 联系人及职位 | 吴刚，数字化转型部总经理 |
| 沟通渠道 | 会议（线下） |
| 沟通内容摘要 | 客户计划在2026年Q2新开两个电池工厂，需要配套的全流程质量追溯系统。我方展示了基于区块链的追溯平台，客户对数据不可篡改特性很认可，但要求系统必须兼容华为云（客户已选定华为云为底座）。我方确认可支持多云部署。 |
| 客户兴趣度 | 高 |
| 销售漏斗阶段 | 方案 |
| 下一步行动计划 | 技术团队在2月14日前完成华为云适配性验证和环境部署，提供测试账号给客户技术副总监，并预定2月20日远程演示。 |
| 预计下一跟进日期 | 2026-02-22 |
| 备注 | 该项目预算充裕（约800万），但技术验证环节多，建议早启动POC。 |

### 示例客户7：中国邮政集团有限公司
| 字段 | 内容 |
|------|------|
| 客户名称 | 中国邮政集团有限公司（电商物流部） |
| 跟进日期 | 2026-02-10 |
| 联系人及职位 | 王磊，电商物流部副总经理 |
| 沟通渠道 | 邮件 |
| 沟通内容摘要 | 客户回复了上月的询价邮件，表示对智能分拣方案有兴趣，但需先完成内部需求调研。客户目前正与多家物流装备厂商接触，建议我方提供一份“物流自动化分期实施方案”，适合预算逐步释放的模式。 |
| 客户兴趣度 | 低 |
| 销售漏斗阶段 | 线索 |
| 下一步行动计划 | 商务经理周舟在2月15日前撰写《邮政电商物流分期实施建议书》，强调分期投资和低风险升级，并于2月18日电话预约客户当面交流。 |
| 预计下一跟进日期 | 2026-02-20 |
| 备注 | 客户业务流程长，决策周期超过半年，需保持定期联系但不过度催促。 |

### 示例客户8：京东集团股份有限公司
| 字段 | 内容 |
|------|------|
| 客户名称 | 京东集团股份有限公司（京东云部门） |
| 跟进日期 | 2026-02-14 |
| 联系人及职位 | 张晓，云解决方案架构师 |
| 沟通渠道 | 即时通讯（企业微信） |
| 沟通内容摘要 | 客户询问我方的新一代智能运维平台是否支持混合云环境，且能否对接京东云自有的监控系统。我方回复了兼容性矩阵，并发送了技术白皮书。客户表示会转交技术评审团队评估，但在近期内无法给出明确时间点。 |
| 客户兴趣度 | 低 |
| 销售漏斗阶段 | 线索 |
| 下一步行动计划 | 销售李华在2月20日向客户索要技术评审团队的反馈，若无回复则标记为“静默线索”，改为每两周发送行业案例Newsletter维持联系。 |
| 预计下一跟进日期 | 2026-02-25 |
| 备注 | 客户为云厂商，自信技术能力强，我方应突出与竞争对手的差异化，而非基础功能。 |

### 示例客户9：中国建筑集团有限公司
| 字段 | 内容 |
|------|------|
| 客户名称 | 中国建筑集团有限公司（基础设施事业部） |
| 跟进日期 | 2026-02-20 |
| 联系人及职位 | 李伟，智慧工地项目总监 |
| 沟通渠道 | 会议（线上） |
| 沟通内容摘要 | 客户正在为北京、雄安等地的项目采购智慧工地一体化平台。我方演示了BIM+物联网集成的方案，客户对实时监测施工质量的功能很认可，但提出需要满足央企私有化部署要求，同时必须通过信创认证。我方确认支持国产化（鲲鹏+麒麟）。 |
| 客户兴趣度 | 中 |
| 销售漏斗阶段 | 方案 |
| 下一步行动计划 | 售前团队准备私有化部署方案与信创适配证书扫描件，于3月1日前发给客户；同时安排一次POC演示，使用客户提供的测试数据。 |
| 预计下一跟进日期 | 2026-03-05 |
| 备注 | 央企采购流程复杂，需团队提前准备招投标所需资质文件，包括涉密资质等。 |

### 示例客户10：中国农业银行
| 字段 | 内容 |
|------|------|
| 客户名称 | 中国农业银行（软件开发中心） |
| 跟进日期 | 2026-02-28 |
|
